index,Id Amostra,Ano,Parecer Amostra,Data Coleta,Análise,Valor,Unidade Medida,Parecer Análise
102,277614,2023,Não Conforme,2023-02-28 14:00:00.000,DBO,13,mg/L,Conforme
103,277614,2023,Não Conforme,2023-02-28 14:00:00.000,Sólidos Suspensos Totais,"13,0",mg/L,Conforme
104,277614,2023,Não Conforme,2023-02-28 14:00:00.000,Surfactantes,2.51,mg/L,Não Conforme
105,277614,2023,Não Conforme,2023-02-28 14:00:00.000,Sólidos Sedimentáveis,0.5,mL/L,Conforme
106,277614,2023,Não Conforme,2023-02-28 14:00:00.000,pH,7.25,N.A,Conforme
107,277614,2023,Não Conforme,2023-02-28 14:00:00.000,Nitrogênio Amoniacal,30.9,mg/L,Não Conforme
108,277614,2023,Não Conforme,2023-02-28 14:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
109,277614,2023,Não Conforme,2023-02-28 14:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
110,277614,2023,Não Conforme,2023-02-28 14:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
111,277614,2023,Não Conforme,2023-02-28 14:00:00.000,Fósforo Total,3.01,mg/L,
112,277617,2023,,2023-02-28 12:00:00.000,DQO,520,mg/L,
113,277617,2023,,2023-02-28 12:00:00.000,DBO,230,mg/L,
114,277617,2023,,2023-02-28 12:00:00.000,Sólidos Suspensos Totais,"101,4",mg/L,
115,277617,2023,,2023-02-28 12:00:00.000,Nitrogênio Amoniacal,17.3,mg/L,
116,277617,2023,,2023-02-28 12:00:00.000,Fósforo Total,3.2,mg/L,
117,277618,2023,Não Conforme,2023-02-28 12:00:00.000,DBO,14,mg/L,Conforme
118,277618,2023,Não Conforme,2023-02-28 12:00:00.000,DQO,73,mg/L,
119,277618,2023,Não Conforme,2023-02-28 12:00:00.000,Sólidos Suspensos Totais,"20,0",mg/L,Conforme
120,277618,2023,Não Conforme,2023-02-28 12:00:00.000,Surfactantes,9.8,mg/L,Não Conforme
121,277618,2023,Não Conforme,2023-02-28 12:00:00.000,Sólidos Sedimentáveis,"<0,1",mL/L,Conforme
122,277618,2023,Não Conforme,2023-02-28 12:00:00.000,pH,7.01,N.A,Conforme
123,277618,2023,Não Conforme,2023-02-28 12:00:00.000,Nitrogênio Amoniacal,30,mg/L,Não Conforme
124,277618,2023,Não Conforme,2023-02-28 12:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
125,277618,2023,Não Conforme,2023-02-28 12:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
126,277618,2023,Não Conforme,2023-02-28 12:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
127,277618,2023,Não Conforme,2023-02-28 12:00:00.000,Fósforo Total,3,mg/L,
128,277620,2023,Inconclusivo,2023-02-23 12:00:00.000,DBO,"< 2,00",mg/L,Conforme
129,277620,2023,Inconclusivo,2023-02-23 12:00:00.000,Sólidos Suspensos Totais,"< 10,0",mg/L,Conforme
130,277620,2023,Inconclusivo,2023-02-23 12:00:00.000,DQO,3,mg/L,
131,277620,2023,Inconclusivo,2023-02-23 12:00:00.000,Surfactantes,"< 0,50",mg/L,Conforme
132,277620,2023,Inconclusivo,2023-02-23 12:00:00.000,Sólidos Sedimentáveis,"<0,1",mL/L,Conforme
133,277620,2023,Inconclusivo,2023-02-23 12:00:00.000,pH,7.6,N.A,Conforme
134,277620,2023,Inconclusivo,2023-02-23 12:00:00.000,Nitrogênio Amoniacal,"<0,01",mg/L,Conforme
135,277620,2023,Inconclusivo,2023-02-23 12:00:00.000,Fósforo Total,0.09,mg/L,
136,277620,2023,Inconclusivo,2023-02-23 12:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
137,277620,2023,Inconclusivo,2023-02-23 12:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
138,277620,2023,Inconclusivo,2023-02-23 12:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
139,277622,2023,Não Conforme,2023-02-23 14:00:00.000,DBO,14,mg/L,Conforme
140,277622,2023,Não Conforme,2023-02-23 14:00:00.000,Sólidos Suspensos Totais,"64,0",mg/L,Não Conforme
141,277622,2023,Não Conforme,2023-02-23 14:00:00.000,DQO,89,mg/L,
142,277622,2023,Não Conforme,2023-02-23 14:00:00.000,Surfactantes,0.53,mg/L,Conforme
143,277622,2023,Não Conforme,2023-02-23 14:00:00.000,Sólidos Sedimentáveis,1.4,mL/L,Não Conforme
144,277622,2023,Não Conforme,2023-02-23 14:00:00.000,pH,6.65,N.A,Conforme
145,277622,2023,Não Conforme,2023-02-23 14:00:00.000,Nitrogênio Amoniacal,11.1,mg/L,Conforme
146,277622,2023,Não Conforme,2023-02-23 14:00:00.000,Fósforo Total,2.72,mg/L,
147,277622,2023,Não Conforme,2023-02-23 14:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
148,277622,2023,Não Conforme,2023-02-23 14:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
149,277622,2023,Não Conforme,2023-02-23 14:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
150,277623,2023,,2023-03-29 12:00:00.000,DQO,454,mg/L,
151,277623,2023,,2023-03-29 12:00:00.000,DBO,325.1,mg/L,
152,277623,2023,,2023-03-29 12:00:00.000,Sólidos Suspensos Totais,"89,1",mg/L,
153,277623,2023,,2023-03-29 12:00:00.000,Fósforo Total,4.45,mg/L,
154,277623,2023,,2023-03-29 12:00:00.000,Surfactantes,9.8,mg/L,
155,277623,2023,,2023-03-29 12:00:00.000,Nitrogênio Amoniacal,5.8,mg/L,
156,277624,2023,Não Conforme,2023-03-29 12:00:00.000,DBO,42.4,mg/L,Não Conforme
157,277624,2023,Não Conforme,2023-03-29 12:00:00.000,DQO,194,mg/L,
158,277624,2023,Não Conforme,2023-03-29 12:00:00.000,Sólidos Suspensos Totais,"90,0",mg/L,Não Conforme
159,277624,2023,Não Conforme,2023-03-29 12:00:00.000,Óleos e Graxas Total,"< 10,00",mg/L,Conforme
160,277624,2023,Não Conforme,2023-03-29 12:00:00.000,Óleos e Graxas Mineral,"< 10,00",mg/L,Conforme
161,277624,2023,Não Conforme,2023-03-29 12:00:00.000,Óleos e Graxas Vegetal,"< 10,00",mg/L,Conforme
162,277624,2023,Não Conforme,2023-03-29 12:00:00.000,Surfactantes,4.1,mg/L,Não Conforme
163,277624,2023,Não Conforme,2023-03-29 12:00:00.000,Sólidos Sedimentáveis,1.1,mL/L,Não Conforme
164,277624,2023,Não Conforme,2023-03-29 12:00:00.000,Fósforo Total,2.52,mg/L,
165,277624,2023,Não Conforme,2023-03-29 12:00:00.000,pH,7.03,N.A,Conforme
166,277624,2023,Não Conforme,2023-03-29 12:00:00.000,Nitrogênio Amoniacal,25.6,mg/L,Não Conforme
167,277632,2023,Inconclusivo,2023-02-23 12:00:00.000,DBO,4,mg/L,Conforme
168,277632,2023,Inconclusivo,2023-02-23 12:00:00.000,DQO,37,mg/L,
169,277632,2023,Inconclusivo,2023-02-23 12:00:00.000,Sólidos Suspensos Totais,"20,0",mg/L,Conforme
170,277632,2023,Inconclusivo,2023-02-23 12:00:00.000,Sólidos Sedimentáveis,0.5,mL/L,Conforme
171,277632,2023,Inconclusivo,2023-02-23 12:00:00.000,Surfactantes,"< 0,50",mg/L,Conforme
172,277632,2023,Inconclusivo,2023-02-23 12:00:00.000,pH,7.2,N.A,Conforme
173,277632,2023,Inconclusivo,2023-02-23 12:00:00.000,Alcalinidade Total,52,mg/L,
174,277632,2023,Inconclusivo,2023-02-23 12:00:00.000,Nitrogênio Amoniacal,7.2,mg/L,Conforme
175,277632,2023,Inconclusivo,2023-02-23 12:00:00.000,Fósforo Total,2.21,mg/L,
176,277632,2023,Inconclusivo,2023-02-23 12:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
177,277632,2023,Inconclusivo,2023-02-23 12:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
178,277632,2023,Inconclusivo,2023-02-23 12:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
179,277798,2023,Inconclusivo,2023-02-23 12:00:00.000,DQO,74,mg/L,
180,277798,2023,Inconclusivo,2023-02-23 12:00:00.000,DBO,19,mg/L,Conforme
181,277798,2023,Inconclusivo,2023-02-23 12:00:00.000,Sólidos Suspensos Totais,"29,0",mg/L,Conforme
182,277798,2023,Inconclusivo,2023-02-23 12:00:00.000,Surfactantes,"< 0,50",mg/L,Conforme
183,277798,2023,Inconclusivo,2023-02-23 12:00:00.000,Sólidos Sedimentáveis,0.5,mL/L,Conforme
184,277798,2023,Inconclusivo,2023-02-23 12:00:00.000,pH,7.2,N.A,Conforme
185,277798,2023,Inconclusivo,2023-02-23 12:00:00.000,Nitrogênio Amoniacal,10.2,mg/L,Conforme
186,277798,2023,Inconclusivo,2023-02-23 12:00:00.000,Fósforo Total,0.21,mg/L,
187,277798,2023,Inconclusivo,2023-02-23 12:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
188,277798,2023,Inconclusivo,2023-02-23 12:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
189,277798,2023,Inconclusivo,2023-02-23 12:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
190,278327,2023,,2023-02-28 12:00:00.000,DQO,743,mg/L,
191,278327,2023,,2023-02-28 12:00:00.000,DBO,280,mg/L,
192,278327,2023,,2023-02-28 12:00:00.000,Sólidos Suspensos Totais,"171,8",mg/L,
193,278327,2023,,2023-02-28 12:00:00.000,Nitrogênio Amoniacal,40.2,mg/L,
194,278327,2023,,2023-02-28 12:00:00.000,Fósforo Total,4.55,mg/L,
195,278328,2023,Não Conforme,2023-02-28 12:00:00.000,DBO,4,mg/L,Conforme
196,278328,2023,Não Conforme,2023-02-28 12:00:00.000,Sólidos Suspensos Totais,"62,0",mg/L,Não Conforme
197,278328,2023,Não Conforme,2023-02-28 12:00:00.000,DQO,49,mg/L,
198,278328,2023,Não Conforme,2023-02-28 12:00:00.000,Surfactantes,1.28,mg/L,Conforme
199,278328,2023,Não Conforme,2023-02-28 12:00:00.000,Sólidos Sedimentáveis,2,mL/L,Não Conforme
200,278328,2023,Não Conforme,2023-02-28 12:00:00.000,pH,6.67,N.A,Conforme
201,278328,2023,Não Conforme,2023-02-28 12:00:00.000,Nitrogênio Amoniacal,3.6,mg/L,Conforme
202,278328,2023,Não Conforme,2023-02-28 12:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
203,278328,2023,Não Conforme,2023-02-28 12:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
204,278328,2023,Não Conforme,2023-02-28 12:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
205,278328,2023,Não Conforme,2023-02-28 12:00:00.000,Fósforo Total,1.2,mg/L,
206,278341,2023,,2023-02-28 12:00:00.000,DQO,304,mg/L,
207,278341,2023,,2023-02-28 12:00:00.000,DBO,130,mg/L,
208,278341,2023,,2023-02-28 12:00:00.000,Sólidos Suspensos Totais,"66,0",mg/L,
209,278341,2023,,2023-02-28 12:00:00.000,Nitrogênio Amoniacal,39.2,mg/L,
210,278341,2023,,2023-02-28 12:00:00.000,Fósforo Total,4.22,mg/L,
211,278342,2023,Não Conforme,2023-02-28 12:00:00.000,pH,7.2,,Conforme
212,278342,2023,Não Conforme,2023-02-28 12:00:00.000,DBO,8,mg/L,Conforme
213,278342,2023,Não Conforme,2023-02-28 12:00:00.000,Sólidos Suspensos Totais,"36,0",mg/L,Conforme
214,278342,2023,Não Conforme,2023-02-28 12:00:00.000,DQO,51,mg/L,
215,278342,2023,Não Conforme,2023-02-28 12:00:00.000,Surfactantes,3.54,mg/L,Não Conforme
216,278342,2023,Não Conforme,2023-02-28 12:00:00.000,Sólidos Sedimentáveis,1.1,mL/L,Não Conforme
217,278342,2023,Não Conforme,2023-02-28 12:00:00.000,Nitrogênio Amoniacal,24.8,mg/L,Não Conforme
218,278342,2023,Não Conforme,2023-02-28 12:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
219,278342,2023,Não Conforme,2023-02-28 12:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
220,278342,2023,Não Conforme,2023-02-28 12:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
221,278342,2023,Não Conforme,2023-02-28 12:00:00.000,Fósforo Total,2.61,mg/L,
222,282295,2023,Conforme,2023-03-20 09:30:00.000,DQO,75,mg/L,
223,282295,2023,Conforme,2023-03-20 09:30:00.000,DBO,16,mg/L,Conforme
224,282295,2023,Conforme,2023-03-20 09:30:00.000,Sólidos Suspensos Totais,"< 10,0",mg/L,Conforme
225,282295,2023,Conforme,2023-03-20 09:30:00.000,Sólidos Suspensos Voláteis ,"< 10,0",mg/L,
226,282295,2023,Conforme,2023-03-20 09:30:00.000,Sólidos Suspensos Fixos,"< 10,0",mg/L,
227,282295,2023,Conforme,2023-03-20 09:30:00.000,Óleos e Graxas Mineral,"< 10,00",mg/L,Conforme
228,282295,2023,Conforme,2023-03-20 09:30:00.000,Fósforo Total,"< 1,00",mg/L,
229,282295,2023,Conforme,2023-03-20 09:30:00.000,Surfactantes,"< 0,50",mg/L,Conforme
230,282295,2023,Conforme,2023-03-20 09:30:00.000,Níquel,0.197,mg/L,
231,282295,2023,Conforme,2023-03-20 09:30:00.000,Zinco,"<0,05",mg/L,
232,282295,2023,Conforme,2023-03-20 09:30:00.000,Toxicidade,1,N.A,
233,282295,2023,Conforme,2023-03-20 09:30:00.000,Sólidos Sedimentáveis,0.5,mL/L,Conforme
234,305611,2023,Conforme,2023-07-03 10:05:00.000,DQO,47,mg/L,
235,305611,2023,Conforme,2023-07-03 10:05:00.000,DBO,3,mg/L,Conforme
236,305611,2023,Conforme,2023-07-03 10:05:00.000,Sólidos Suspensos Totais,"15,0",mg/L,Conforme
237,305611,2023,Conforme,2023-07-03 10:05:00.000,Sólidos Suspensos Voláteis ,"< 10,0",mg/L,
238,305611,2023,Conforme,2023-07-03 10:05:00.000,Sólidos Suspensos Fixos,"< 10,0",mg/L,
239,305611,2023,Conforme,2023-07-03 10:05:00.000,Óleos e Graxas Mineral,"< 10,00",mg/L,Conforme
240,305611,2023,Conforme,2023-07-03 10:05:00.000,Fósforo Total,"< 1,00",mg/L,
241,305611,2023,Conforme,2023-07-03 10:05:00.000,Surfactantes,"< 0,50",mg/L,Conforme
242,305611,2023,Conforme,2023-07-03 10:05:00.000,Sólidos Sedimentáveis,"<0,1",mL/L,Conforme
243,325562,2023,Conforme,2023-09-26 14:00:00.000,Coliformes Totais,2069,NMP/100mL,
244,325562,2023,Conforme,2023-09-26 14:00:00.000,Escherichia coli,98.5,NMP/100mL,Conforme
245,325562,2023,Conforme,2023-09-26 14:00:00.000,Nitrogênio Amoniacal,0.4,mg/L,
246,325562,2023,Conforme,2023-09-26 14:00:00.000,DQO,24,mg/L,
247,332715,2023,Atenção,2023-10-26 09:40:00.000,Turbidez,0.24,uT,Conforme
248,332715,2023,Atenção,2023-10-26 09:40:00.000,Fluoreto,0.15,mg/L,Atenção
249,332715,2023,Atenção,2023-10-26 09:40:00.000,Alcalinidade Total,77,mg/L,
250,335529,2023,,2023-11-13 10:10:00.000,Turbidez,0.3,uT,
251,338557,2023,,2023-12-04 10:25:00.000,DQO,9,mg/L,
252,338557,2023,,2023-12-04 10:25:00.000,DBO,"< 2,00",mg/L,
253,338557,2023,,2023-12-04 10:25:00.000,Sólidos Suspensos Totais,"< 10,0",mg/L,
254,338557,2023,,2023-12-04 10:25:00.000,Sólidos Suspensos Voláteis ,"< 10,0",mg/L,
255,338557,2023,,2023-12-04 10:25:00.000,Sólidos Suspensos Fixos,"< 10,0",mg/L,
256,338557,2023,,2023-12-04 10:25:00.000,Óleos e Graxas Mineral,"< 10,00",mg/L,
257,338557,2023,,2023-12-04 10:25:00.000,Fósforo Total,2.8,mg/L,
258,338557,2023,,2023-12-04 10:25:00.000,Surfactantes,0.6,mg/L,
259,338557,2023,,2023-12-04 10:25:00.000,Toxicidade,1,N.A,
260,339327,2023,Conforme,2023-12-19 08:00:00.000,Bactérias Heterotróficas,< 1,UFC/mL,Conforme
261,339327,2023,Conforme,2023-12-19 08:00:00.000,Cloro Residual Livre,1.8,mg/L,Conforme
262,339327,2023,Conforme,2023-12-19 08:00:00.000,Cor Aparente,<3,uH,Conforme
263,339327,2023,Conforme,2023-12-19 08:00:00.000,pH,7.1,N.A,Conforme
264,339327,2023,Conforme,2023-12-19 08:00:00.000,Turbidez,0.32,uT,Conforme
265,339327,2023,Conforme,2023-12-19 08:00:00.000,Coliformes Totais,Ausência,A-P/100mL,Conforme
266,339327,2023,Conforme,2023-12-19 08:00:00.000,Escherichia coli,Ausência,A-P/100mL,Conforme
267,340063,2023,,2023-12-11 10:55:00.000,DQO,55,mg/L,
268,340063,2023,,2023-12-11 10:55:00.000,DBO,4,mg/L,
269,340063,2023,,2023-12-11 10:55:00.000,Sólidos Suspensos Totais,"10,0",mg/L,
